VSTATION,NR,DATUM,DAGNR,OBS,XTEMP,LTEMP,HTEMP,XGR,LGR,HGR,XHUM,LHUM,HHUM,NED,NEDA,XVH,XVR,SOLIN,GRD0,GRD3,GRD5,GRD7,GRD8,GRD10,BLFUKT,MT05,MT10,MT20,MT50,OBST,OBSR,OBSS,SNOW
Lilla Böslid (Lantmet),20949,20200911,255,96,14.9,12.7,17.2,,,,73.7,65.2,83.4,0,385.2,3.3,237,4.6,2671,1954,1516,1173,1029,771,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200912,256,96,14.9,12,16,,,,83.7,74.5,95.3,3.8,389,4.9,246,0.1,2686,1966,1526,1181,1036,776,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200913,257,96,15.7,14.1,17.4,,,,86.4,76.7,94.5,0.4,389.4,5.5,257,0.4,2701,1979,1536,1189,1043,782,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200914,258,96,16.3,12.2,19.3,,,,93.5,84.3,98.4,0,389.4,2.4,267,3,2718,1992,1548,1199,1052,788,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200915,259,96,17.1,9.4,25.8,,,,87.3,62.1,100,0,389.4,0.1,68,8.4,2735,2006,1560,1209,1061,796,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200916,260,96,13.3,7.8,17.3,,,,88.9,63.5,100,0,389.4,1.8,351,0.1,2748,2016,1568,1215,1066,799,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200917,261,96,9.1,2.5,15,,,,74.5,57.2,93.4,0,389.4,1,330,0.1,2757,2023,1572,1218,1068,800,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200918,262,96,10.1,0.6,16,,,,85.8,70.6,99.8,0,389.4,1.9,317,0.1,2767,2030,1579,1223,1072,803,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200919,263,96,13.9,8,15.5,,,,92,87.7,98.3,0,389.4,0.1,289,0.1,2781,2041,1588,1230,1078,807,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200920,264,96,12.6,9,14.1,,,,96.9,91.8,100,0,389.4,0.1,196,0.1,2794,2051,1595,1235,1083,810,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200921,265,96,13.3,7.6,16.3,,,,91,81.9,100,0,389.4,1,254,0.1,2807,2061,1603,1242,1088,813,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200922,266,96,12.6,6.4,20.7,,,,86.7,58.9,100,0,389.4,0.1,134,5.5,2820,2071,1611,1247,1093,816,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200923,267,96,14,8.1,21.3,,,,86.2,62.3,100,0,389.4,0.1,155,3.3,2834,2082,1620,1254,1099,821,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200924,268,96,14.8,7.6,18.5,,,,81.7,69.2,94.1,0,389.4,2.5,193,4.4,2849,2093,1630,1262,1106,826,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200925,269,96,12.5,7.6,15.8,,,,92.8,79.9,100,26.6,416,2.8,102,1.8,2861,2103,1637,1267,1110,828,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200926,270,96,15.4,12.8,18.2,,,,90.5,76.3,99.9,0.4,416.4,2.3,115,2.8,2876,2115,1648,1276,1118,834,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200927,271,96,18.6,14.6,23.8,,,,80.9,63.3,92.1,0,416.4,2.9,74,7,2895,2131,1661,1287,1128,842,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200928,272,96,14,9.1,18.1,,,,91.5,81.9,96.3,0.2,416.6,1.2,115,0.1,2909,2142,1670,1294,1134,846,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200929,273,96,12.8,8.8,18.6,,,,86,63.6,97.6,0,416.6,1.1,144,4.9,2922,2152,1678,1300,1139,849,,,,,,,,,
Lilla Böslid (Lantmet),20949,20200930,274,96,12,8,17.2,,,,91.4,72.3,100,0,416.6,2.1,128,6.9,2934,2161,1685,1305,1143,852,,,,,,,,,
Lilla Böslid (Lantmet),20949,20201001,275,96,12.9,8.7,16.6,,,,89,78.3,99.9,0,416.6,3.5,102,3.7,2947,2171,1693,1311,1148,855,,,,,,,,,
Lilla Böslid (Lantmet),20949,20201002,276,96,15.4,13.1,19.1,,,,82.9,70.6,93.6,0,416.6,5.6,102,4.8,2962,2183,1703,1320,1155,860,,,,,,,,,
