VSTATION,NR,DATUM,DAGNR,OBS,XTEMP,LTEMP,HTEMP,XGR,LGR,HGR,XHUM,LHUM,HHUM,NED,NEDA,XVH,XVR,SOLIN,GRD0,GRD3,GRD5,GRD7,GRD8,GRD10,BLFUKT,MT05,MT10,MT20,MT50,OBST,OBSR,OBSS,SNOW
Stockholm-arlanda (SMHI),460,20200615,167,24,17.6,5.2,23,,,,46.7,26,89,,,2.8,32,,888,517,342,227,186,123,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200616,168,24,14.4,9.3,17.9,,,,83.4,51,100,,,2.3,36,,903,529,351,234,192,127,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200617,169,24,13.1,9.7,15.3,,,,95.1,88,100,,,2,14,,916,539,359,240,197,131,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200618,170,24,17,8.8,22.4,,,,74.1,51,100,,,1.3,319,,933,553,371,251,207,138,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200619,171,24,19.4,10.7,25.2,,,,66.9,42,99,,,3.3,39,,952,569,386,263,218,147,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200620,172,24,19.1,13.4,24,,,,67.1,47,97,,,4.5,53,,971,585,400,275,229,156,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200621,173,24,18,13,22.3,,,,55.5,34,95,,,3.8,80,,989,600,413,286,239,164,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200622,174,24,16.8,9.4,20.8,,,,59.2,36,91,,,2.9,97,,1006,614,425,296,248,171,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200623,175,24,18,8.3,24.3,,,,64.8,38,97,,,1.1,280,,1024,629,438,307,258,179,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200624,176,24,21.7,12.7,27,,,,56.9,32,92,,,1.7,213,,1046,648,454,321,271,191,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200625,177,24,22.4,15.3,28.4,,,,54.1,35,86,,,2.1,223,,1068,667,472,337,286,203,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200626,178,24,21.7,11.6,27.3,,,,54.4,30,87,,,2.9,189,,1090,686,488,352,300,215,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200627,179,24,22.2,14.7,27.3,,,,54.4,34,84,,,2.5,173,,1112,705,506,367,314,227,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200628,180,24,21.7,15.2,26.9,,,,65.9,36,94,,,3.8,88,,1134,724,522,381,327,239,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200629,181,24,18,13.1,21.4,,,,74,41,97,,,2.3,250,,1152,739,535,392,338,247,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200630,182,24,14.5,11.8,18,,,,82.5,63,95,,,2.7,236,,1166,750,545,400,344,251,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200701,183,24,14.7,11.6,18.2,,,,75.9,55,94,,,2.9,260,,1181,762,555,408,351,256,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200702,184,24,14.6,11.2,17.9,,,,77.3,58,97,,,3,201,,1196,774,564,415,357,261,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200703,185,24,14.1,7.6,18.3,,,,62.4,43,93,,,3.3,242,,1210,785,573,422,363,265,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200704,186,24,13.5,10.5,16.3,,,,86.3,71,97,,,2.3,256,,1223,795,581,429,369,268,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200705,187,24,14.4,12.9,18.4,,,,87.8,70,99,,,4.2,142,,1237,806,591,436,375,273,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200706,188,24,13.8,11.8,16.7,,,,70.2,50,90,,,6.7,216,,1251,817,600,443,381,276,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200707,189,24,13.7,10.5,17.9,,,,66.4,44,90,,,4.1,243,,1265,828,608,449,386,280,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200708,190,24,10.6,7.6,13.5,,,,75.9,59,93,,,2.2,231,,1275,835,614,453,389,281,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200709,191,24,13.3,8.3,17.9,,,,64.6,39,93,,,2.3,246,,1288,846,622,459,394,285,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200710,192,24,12,5.9,17.6,,,,82.9,57,96,,,1.5,64,,1301,855,629,464,399,287,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200711,193,24,13.3,9.3,18.2,,,,80.8,54,100,,,2.1,287,,1314,865,637,471,404,291,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200712,194,24,12.7,8.3,18.1,,,,83.6,49,100,,,1.9,291,,1327,875,645,476,409,294,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200713,195,24,13.1,7.3,17.8,,,,76.9,46,100,,,2,344,,1340,885,653,483,414,297,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200714,196,24,15.4,11,18.9,,,,76.6,54,97,,,1.9,232,,1355,897,664,491,421,303,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200715,197,24,15.5,12.1,18.9,,,,78.9,57,95,,,2.8,131,,1371,910,674,499,429,308,,,,,,,,,
Stockholm-arlanda (SMHI),460,20200716,198,24,17.8,11.7,24.5,,,,70,46,100,,,1.5,119,,1388,924,687,510,439,316,,,,,,,,,
