parameter,site,Start date,End date,removal start date,removal end date,mixing day and outlet height from the bottom (m),Htank,ri,"annual manure input (m3), pig amount (pigs), wash water per pig (kg)",manure input factor,feeder days,Freeboard,Sludge,Initial manure depth,manure volume removed,Total volatile solid,"Income manure Temp, amplitude, and phase constant",Latitude,Solar absorptivity,Extraterrestrial solar flux density,Atmospheric transimttance,Altitude,Emissivity,Soil density,Soil thermal conductivity ,Soil specific heat,air thermal conductivity,Teten's constant,freezing and thawing point,"snow min crit, max crit, melt r, sublimation threshold, sublimation r",cover
value,LA,9/11/2020,8/31/2023,4/13/2021,4/15/2021,5,4,10,1750,0.9,119,0.3,0.5,0.6,850,8,11,59.557972,0.45,1395,0.75,7.3,0.5,1450,1.5,1350,0.045,0.611,272.45,-12,1
,,,,5/16/2021,5/17/2021,3,,,1540,0.8,,,,,245,,1,,,,,,,,,,,16.6269,273.15,2,
,,,,6/6/2021,6/6/2021,,,,10,1,,,,,95,,4.32,,,,,,,,,,,253.0185,,0.052,
,,,,4/13/2021,4/15/2021,,,,,,,,,,,,,,,,,,,,,,,21.87,,2,
,,,,5/16/2021,5/17/2021,,,,,,,,,,,,,,,,,,,,,,,265.5,,0.25,
,,,,6/6/2021,6/6/2021,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4/13/2022,4/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5/16/2022,5/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6/6/2022,6/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4/13/2023,4/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5/16/2023,5/17/2023,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6/6/2023,6/6/2023,,,,,,,,,,,,,,,,,,,,,,,,,,
