,Year,Month,Day,DOY,temp0.5,temp1.5,temp2.5,Depth,depth0.5,depth1.5,depth2.5,temp.avg,Stemp10,Stemp50
1,2020,6,18,170,16.6025,14.435,15.035,0.599032258,0.5,0.599032258,0.599032258,15.75288891,12.3375,10.6
5,2020,6,19,171,17.57875,14.38875,14.94125,0.59516129,0.5,0.59516129,0.59516129,16.24846649,12.92916667,10.8
13,2020,6,20,172,18.1225,14.49625,15.0075,0.59,0.5,0.59,0.59,16.57634174,12.6125,10.9875
21,2020,6,21,173,18.32125,14.85125,15.3725,0.58483871,0.5,0.58483871,0.58483871,16.84205546,12.79583333,11.00416667
29,2020,6,22,174,17.9275,15.04,15.2575,0.582015972,0.5,0.582015972,0.582015972,16.64343855,13.57083333,11.16666667
37,2020,6,23,175,18.13125,15.02,15.31625,0.590418288,0.5,0.590418288,0.590418288,16.77253975,14.25416667,11.49583333
45,2020,6,24,176,18.42875,15.17875,15.6075,0.600223735,0.5,0.600223735,0.600223735,17.04920105,14.52083333,11.85
53,2020,6,25,177,18.9325,15.40125,15.695,0.610029183,0.5,0.610029183,0.610029183,17.40804684,14.14166667,12.0375
61,2020,6,26,178,19.2725,15.5625,15.775,0.61983463,0.5,0.61983463,0.61983463,17.66344546,NA,NA
69,2020,6,27,179,19.4175,15.8175,15.9875,0.629640078,0.5,0.629640078,0.629640078,17.86169472,15.09583333,12.225
77,2020,6,28,180,19.81125,15.905,16.27625,0.639445525,0.5,0.639445525,0.639445525,18.17860284,15.92916667,12.60416667
85,2020,6,29,181,20.3025,16.06,16.35,0.649250973,0.5,0.649250973,0.649250973,18.51981715,16.275,12.98333333
93,2020,6,30,182,19.53375,16.2075,16.50375,0.65905642,0.5,0.65905642,0.65905642,18.16275332,16.52083333,13.2375
101,2020,7,1,183,18.73125,16.2875,16.45125,0.668861868,0.5,0.668861868,0.668861868,17.7209189,16.84166667,13.52916667
109,2020,7,2,184,18.515,16.2225,16.36375,0.678667315,0.5,0.678667315,0.678667315,17.57246305,16.6625,13.81666667
117,2020,7,3,185,17.9425,16.105,16.23125,0.688472763,0.5,0.688472763,0.688472763,17.19600624,15.56666667,13.86666667
125,2020,7,4,186,17.005,15.93625,16.05,0.69827821,0.5,0.69827821,0.69827821,16.5827796,15.40833333,13.72083333
133,2020,7,5,187,17.33,15.73125,15.80625,0.708083658,0.5,0.708083658,0.708083658,16.683832,15.14166667,13.63333333
141,2020,7,6,188,16.895,15.6075,15.65875,0.717889105,0.5,0.717889105,0.717889105,16.37694175,14.50833333,13.5375
149,2020,7,7,189,16.82375,15.4825,15.5125,0.727694553,0.5,0.727694553,0.727694553,16.28361158,13.9625,13.31666667
157,2020,7,8,190,16.3075,15.36,15.39,0.7375,0.5,0.7375,0.7375,15.93073232,14.1375,13.18333333
165,2020,7,9,191,15.25125,15.21125,15.20375,0.747305447,0.5,0.747305447,0.747305447,15.23371219,13.72083333,13.1375
173,2020,7,10,192,14.43,14.96625,14.93125,0.757110895,0.5,0.757110895,0.757110895,14.63632627,13.80416667,13.01666667
181,2020,7,11,193,14.795,14.6975,14.6425,0.766916342,0.5,0.766916342,0.766916342,14.74566762,13.4625,12.95
189,2020,7,12,194,15.65625,14.52625,14.48875,0.77672179,0.5,0.77672179,0.77672179,15.20636734,13.69583333,12.85833333
197,2020,7,13,195,15.19,14.475,14.45875,0.786527237,0.5,0.786527237,0.786527237,14.90896242,13.40416667,12.85833333
205,2020,7,14,196,15.8025,14.41375,14.40375,0.796332685,0.5,0.796332685,0.796332685,15.2649258,13.65,12.8
213,2020,7,15,197,16.635,14.45125,14.45375,0.806138132,0.5,0.806138132,0.806138132,15.79952175,13.5375,12.8
221,2020,7,16,198,16.66125,14.50625,14.515,0.81594358,0.5,0.81594358,0.81594358,15.8441082,13.575,12.8
229,2020,7,17,199,17.54375,14.585,14.6,0.825749027,0.5,0.825749027,0.825749027,16.43069997,14.075,12.80833333
237,2020,7,18,200,17.38375,14.7,14.71375,0.835554475,0.5,0.835554475,0.835554475,16.38159133,14.55,12.96666667
245,2020,7,19,201,17.805,14.7925,14.79625,0.845359922,0.5,0.845359922,0.845359922,16.68610797,14.80833333,13.10416667
253,2020,7,20,202,18.72,14.85875,14.86,0.85516537,0.5,0.85516537,0.85516537,17.29558897,15.28333333,13.3125
261,2020,7,21,203,18.44625,15.04875,15.01875,0.864970817,0.5,0.864970817,0.864970817,17.19622328,15.5,13.53333333
269,2020,7,22,204,17.26125,15.2325,15.1975,0.874776265,0.5,0.874776265,0.874776265,16.517038,15.65833333,13.7625
277,2020,7,23,205,16.03,15.23125,15.2075,0.884581712,0.5,0.884581712,0.884581712,15.73726719,15.90416667,13.8875
