"","Year","Month","Day","DOY","temp0.5","temp1.5","temp2.5","Depth","depth0.5","depth1.5","depth2.5","temp.avg","Stemp10","Stemp50"
"1",2020,6,18,170,16.75,15.5525,16.15,0.316451612903226,0.316451612903226,0.316451612903226,0.316451612903226,16.1508333333333,12.3375,10.6
"5",2020,6,19,171,17.89875,16.45375,16.8075,0.382258064516129,0.382258064516129,0.382258064516129,0.382258064516129,17.0533333333333,12.9291666666667,10.8
"13",2020,6,20,172,18.655,17.40125,17.7175,0.47,0.468951612903226,0.47,0.47,17.9245833333333,12.6125,10.9875
"21",2020,6,21,173,17.805,16.9925,17.20375,0.557741935483871,0.5,0.557741935483871,0.557741935483871,17.4708565873742,12.7958333333333,11.0041666666667
"29",2020,6,22,174,17.62625,16.69,16.91,0.633354932847998,0.5,0.633354932847998,0.633354932847998,17.2617348882496,13.5708333333333,11.1666666666667
"37",2020,6,23,175,18.38625,16.645,17.12,0.650749027237354,0.5,0.650749027237354,0.650749027237354,17.7328712160917,14.2541666666667,11.4958333333333
"45",2020,6,24,176,19.20125,16.925,17.46875,0.660865758754864,0.5,0.660865758754864,0.660865758754864,18.3379395849569,14.5208333333333,11.85
"53",2020,6,25,177,20.0475,17.4,18.03125,0.670982490272374,0.5,0.670982490272374,0.670982490272374,19.051808339633,14.1416666666667,12.0375
"61",2020,6,26,178,20.03875,17.685,18.53875,0.681099221789883,0.5,0.681099221789883,0.681099221789883,19.2230374144477,NA,NA
"69",2020,6,27,179,20.18875,17.97125,18.60125,0.691215953307393,0.5,0.691215953307393,0.691215953307393,19.3901962219391,15.0958333333333,12.225
"77",2020,6,28,180,20.2575,17.995,18.5775,0.701332684824903,0.5,0.701332684824903,0.701332684824903,19.4370569932873,15.9291666666667,12.6041666666667
"85",2020,6,29,181,20.285,18.11375,18.51375,0.711449416342413,0.5,0.711449416342413,0.711449416342413,19.4714084569244,16.275,12.9833333333333
"93",2020,6,30,182,19.7025,18.2,18.56375,0.721566147859922,0.5,0.721566147859922,0.721566147859922,19.1619541595993,16.5208333333333,13.2375
"101",2020,7,1,183,18.91125,17.73875,17.95625,0.731682879377432,0.5,0.731682879377432,0.731682879377432,18.479422125386,16.8416666666667,13.5291666666667
"109",2020,7,2,184,18.17625,17.39875,17.5375,0.741799610894942,0.5,0.741799610894942,0.741799610894942,17.8911295209037,16.6625,13.8166666666667
"117",2020,7,3,185,17.96125,17.00875,17.0525,0.751916342412451,0.5,0.751916342412451,0.751916342412451,17.5895698132047,15.5666666666667,13.8666666666667
"125",2020,7,4,186,17.51375,16.70875,16.74,0.762033073929961,0.5,0.762033073929961,0.762033073929961,17.2010105733137,15.4083333333333,13.7208333333333
"133",2020,7,5,187,17.21625,16.54625,16.6175,0.772149805447471,0.5,0.772149805447471,0.772149805447471,16.9669181220704,15.1416666666667,13.6333333333333
"141",2020,7,6,188,16.725,16.36375,16.43625,0.782266536964981,0.5,0.782266536964981,0.782266536964981,16.5982712776046,14.5083333333333,13.5375
"149",2020,7,7,189,16.75625,16.14375,16.205,0.79238326848249,0.5,0.79238326848249,0.79238326848249,16.5311329568634,13.9625,13.3166666666667
"157",2020,7,8,190,16.5425,16.03125,16.08375,0.8025,0.5,0.8025,0.8025,16.3563195777351,14.1375,13.1833333333333
"165",2020,7,9,191,16.27625,15.89625,15.9475,0.81261673151751,0.5,0.81261673151751,0.81261673151751,16.1412620056026,13.7208333333333,13.1375
"173",2020,7,10,192,15.96125,15.76,15.78,0.822733463035019,0.5,0.822733463035019,0.822733463035019,15.8889565238974,13.8041666666667,13.0166666666667
"181",2020,7,11,193,15.70625,15.5975,15.59375,0.832850194552529,0.5,0.832850194552529,0.832850194552529,15.6647505875183,13.4625,12.95
"189",2020,7,12,194,16.005,15.41375,15.4075,0.842966926070039,0.5,0.842966926070039,0.842966926070039,15.7837082509398,13.6958333333333,12.8583333333333
"197",2020,7,13,195,15.67625,15.3175,15.33125,0.853083657587549,0.5,0.853083657587549,0.853083657587549,15.5462229325579,13.4041666666667,12.8583333333333
"205",2020,7,14,196,15.96625,15.245,15.255,0.863200389105058,0.5,0.863200389105058,0.863200389105058,15.7035410080849,13.65,12.8
"213",2020,7,15,197,16.46875,15.2075,15.22625,0.873317120622568,0.5,0.873317120622568,0.873317120622568,16.0129648862775,13.5375,12.8
"221",2020,7,16,198,16.4725,15.175,15.19875,0.883433852140078,0.5,0.883433852140078,0.883433852140078,16.0078500284776,13.575,12.8
"229",2020,7,17,199,17.19375,15.1775,15.2525,0.893550583657587,0.5,0.893550583657587,0.893550583657587,16.4837829477792,14.075,12.8083333333333
"237",2020,7,18,200,17.58125,15.2125,15.2825,0.903667315175097,0.5,0.903667315175097,0.903667315175097,16.7499454683743,14.55,12.9666666666667
"245",2020,7,19,201,18.22625,15.25625,15.31375,0.913784046692607,0.5,0.913784046692607,0.913784046692607,17.1860451657183,14.8083333333333,13.1041666666667
"253",2020,7,20,202,18.57375,15.335,15.44125,0.923900778210117,0.5,0.923900778210117,0.923900778210117,17.4551239521919,15.2833333333333,13.3125
"261",2020,7,21,203,17.9675,15.50625,15.59125,0.934017509727626,0.5,0.934017509727626,0.934017509727626,17.1241525570321,15.5,13.5333333333333
"269",2020,7,22,204,16.71375,15.5925,15.6925,0.944134241245136,0.5,0.944134241245136,0.944134241245136,16.3428530399375,15.6583333333333,13.7625
"277",2020,7,23,205,15.60125,15.6075,15.68125,0.954250972762646,0.5,0.954250972762646,0.954250972762646,15.6160772206131,15.9041666666667,13.8875
"285",2020,7,24,206,15.1325,15.515,15.55125,0.964367704280156,0.5,0.964367704280156,0.964367704280156,15.2692911211197,15.1125,13.9833333333333
"293",2020,7,25,207,14.94875,15.35375,15.35375,0.974484435797665,0.5,0.974484435797665,0.974484435797665,15.0860861393879,14.5958333333333,13.8541666666667
